Jabatan 1,Jabatan 2
KEPALA SUB BAGIAN PENGHARGAAN DAN KESEJAHTERAAN PEGAWAI,KEPALA SUBBAGIAN PENGHARGAAN DAN KESEJAHTERAAN PEGAWAI
KEPALA SUB BAGIAN PENILAIAN KINERJA PEGAWAI,KEPALA SUBBAGIAN PENILAIAN KINERJA PEGAWAI
KEPALA SUB BAGIAN PENYUSUNAN ANGGARAN,KEPALA SUBBAGIAN PENYUSUNAN ANGGARAN
KEPALA SUB BAGIAN PERENCANAAN,KEPALA SUBBAGIAN PERENCANAAN
KEPALA SUB BAGIAN PERENCANAAN DAN PENGADAAN PEGAWAI,KEPALA SUBBAGIAN PERENCANAAN DAN PENGADAAN PEGAWAI
KEPALA SUB BAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN FUNGSIONAL,KEPALA SUBBAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN FUNGSIONAL
KEPALA SUB BAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN STRUKTURAL,KEPALA SUBBAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN STRUKTURAL
KEPALA SUB BAGIAN PERENCANAAN DAN UMUM,KEPALA SUBBAGIAN PERENCANAAN DAN UMUM
"KEPALA SUB BAGIAN PERENCANAAN, DATA DAN INFORMASI","KEPALA SUBBAGIAN PERENCANAAN, DATA DAN INFORMASI"
KEPALA SUB BAGIAN PERSIDANGAN,KEPALA SUBBAGIAN PERSIDANGAN
KEPALA SUB BAGIAN PERSURATAN DAN ARSIP,KEPALA SUBBAGIAN PERSURATAN DAN ARSIP
KEPALA SUB BAGIAN PROTOKOL,KEPALA SUBBAGIAN PROTOKOL
KEPALA SUB BAGIAN REKAPITULASI HASIL PENGHITUNGAN SUARA,KEPALA SUBBAGIAN REKAPITULASI HASIL PENGHITUNGAN SUARA
KEPALA SUB BAGIAN SARANA DAN PRASARANA PERKANTORAN,KEPALA SUBBAGIAN SARANA DAN PRASARANA PERKANTORAN
KEPALA SUB BAGIAN SISTEM DAN PROSEDUR PERENCANAAN,KEPALA SUBBAGIAN SISTEM DAN PROSEDUR PERENCANAAN
KEPALA SUB BAGIAN SUMBER DAYA MANUSIA,KEPALA SUBBAGIAN SUMBER DAYA MANUSIA
KEPALA SUB BAGIAN TATA LAKSANA,KEPALA SUBBAGIAN TATA LAKSANA
KEPALA SUB BAGIAN TATA PENYIAPAN DAN PENGELOLAAN MATERI PENDIDIKAN PEMILIH,KEPALA SUBBAGIAN TATA PENYIAPAN DAN PENGELOLAAN MATERI PENDIDIKAN PEMILIH
KEPALA SUB BAGIAN TATA USAHA BIRO PARTISIPASI DAN HUBUNGAN MASYARAKAT,KEPALA SUBBAGIAN TATA USAHA BIRO PARTISIPASI DAN HUBUNGAN MASYARAKAT
KEPALA SUB BAGIAN TATA USAHA BIRO PERENCANAAN DAN ORGANISASI,KEPALA SUBBAGIAN TATA USAHA BIRO PERENCANAAN DAN ORGANISASI
KEPALA SUB BAGIAN TATA USAHA BIRO SUMBER DAYA MANUSIA,KEPALA SUBBAGIAN TATA USAHA BIRO SUMBER DAYA MANUSIA
KEPALA SUB BAGIAN TATA USAHA BIRO TEKNIS PENYELENGGARAAN PEMILU,KEPALA SUBBAGIAN TATA USAHA BIRO TEKNIS PENYELENGGARAAN PEMILU
KEPALA SUB BAGIAN TATA USAHA BIRO UMUM,KEPALA SUBBAGIAN TATA USAHA BIRO UMUM
KEPALA SUB BAGIAN TATA USAHA DEPUTI BIDANG ADMINISTRASI,KEPALA SUBBAGIAN TATA USAHA DEPUTI BIDANG ADMINISTRASI
Kepala SUB BAGIAN TATA USAHA DEPUTI BIDANG DUKUNGAN TEKNIS,KEPALA SUBBAGIAN TATA USAHA DEPUTI BIDANG DUKUNGAN TEKNIS
KEPALA SUB BAGIAN TATA USAHA KETUA DAN ANGGOTA KPU,KEPALA SUBBAGIAN TATA USAHA KETUA DAN ANGGOTA KPU
KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU,KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU
KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM,KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM
"KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU, PARTISIPASI DAN HUBUNGAN MASYARAKAT","KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU, PARTISIPASI DAN HUBUNGAN MASYARAKAT"
KEPALA SUB BAGIAN UMUM DAN LOGISTIK,KEPALA SUBBAGIAN UMUM DAN LOGISTIK
KEPALA SUBBAGIAN ADVOKASI DAN PENELAAHAN HUKUM,KEPALA SUB BAGIAN ADVOKASI DAN PENELAAHAN HUKUM
KEPALA SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH I,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH I
KEPALA SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH II,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH II
KEPALA SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH III,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH III
KEPALA SUBBAGIAN BIMBINGAN PERBENDAHARAAN,KEPALA SUB BAGIAN BIMBINGAN PERBENDAHARAAN
KEPALA SUBBAGIAN DOKUMENTASI LOGISTIK,KEPALA SUB BAGIAN DOKUMENTASI LOGISTIK
KEPALA SUBBAGIAN GAJI DAN PENATAUSAHAAN PIUTANG,KEPALA SUB BAGIAN GAJI DAN PENATAUSAHAAN PIUTANG
KEPALA SUBBAGIAN HUKUM,KEPALA SUB BAGIAN HUKUM
KEPALA SUBBAGIAN MONITORING DAN EVALUASI LOGISTIK,KEPALA SUB BAGIAN MONITORING DAN EVALUASI LOGISTIK
KEPALA SUBBAGIAN PARTISIPASI DAN HUBUNGAN MASYARAKAT,KEPALA SUB BAGIAN PARTISIPASI DAN HUBUNGAN MASYARAKAT
"KEPALA SUBBAGIAN PARTISIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA","KEPALA SUB BAGIAN PARTISIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA"
"KEPALA SUBBAGIAN PARTSIPASI HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA","KEPALA SUB BAGIAN PARTSIPASI HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA"
"KEPALA SUBBAGIAN PARTSIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA","KEPALA SUB BAGIAN PARTSIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA"
KEPALA SUBBAGIAN PEMELIHARAAN DAN INVENTARISASI LOGISTIK,KEPALA SUB BAGIAN PEMELIHARAAN DAN INVENTARISASI LOGISTIK
KEPALA SUBBAGIAN PENGELOLAAN BARANG MILIK NEGARA WILAYAH II,KEPALA SUB BAGIAN PENGELOLAAN BARANG MILIK NEGARA WILAYAH II
KEPALA SUBBAGIAN PENGELOLAAN BARANG MILIK NEGARA WILAYAH III,KEPALA SUB BAGIAN PENGELOLAAN BARANG MILIK NEGARA WILAYAH III
KEPALA SUBBAGIAN PENYELESAIAN SENGKETA,KEPALA SUB BAGIAN PENYELESAIAN SENGKETA
KEPALA SUBBAGIAN PERENCANAAN KEBUTUHAN LOGISTIK,KEPALA SUB BAGIAN PERENCANAAN KEBUTUHAN LOGISTIK
"KEPALA SUBBAGIAN PERENCANAAN, DATA , DAN INFORMASI","KEPALA SUB BAGIAN PERENCANAAN, DATA , DAN INFORMASI"
"KEPALA SUBBAGIAN PERENCANAAN, DATA, DAN INFORMASI","KEPALA SUB BAGIAN PERENCANAAN, DATA, DAN INFORMASI"
KEPALA SUBBAGIAN PRODUKSI DAN DISTRIBUSI LOGISTIK,KEPALA SUB BAGIAN PRODUKSI DAN DISTRIBUSI LOGISTIK
KEPALA SUBBAGIAN SUMBER DAYA MANUSIA,KEPALA SUB BAGIAN SUMBER DAYA MANUSIA
KEPALA SUBBAGIAN TATA USAHA BIRO HUKUM,KEPALA SUB BAGIAN TATA USAHA BIRO HUKUM
KEPALA SUBBAGIAN TATA USAHA BIRO KEUANGAN,KEPALA SUB BAGIAN TATA USAHA BIRO KEUANGAN
KEPALA SUBBAGIAN TATA USAHA BIRO LOGISTIK,KEPALA SUB BAGIAN TATA USAHA BIRO LOGISTIK
KEPALA SUBBAGIAN TATA USAHA BIRO PENGADAAN BARANG/JASA DAN BARANG MILIK NEGARA,KEPALA SUB BAGIAN TATA USAHA BIRO PENGADAAN BARANG/JASA DAN BARANG MILIK NEGARA
KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU,KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU
KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM,KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM
KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM,KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM
KEPALA SUB BAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH I,KEPALA SUBBAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH I
KEPALA SUB BAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH II,KEPALA SUBBAGIAN ADMINISTRASI ANGGOTA KPU DAN BADAN AD HOC WILAYAH II
